Date,Source,Category,Unique visitors,New subscribers,New revenue
2022/08/26,Substack > Other,Substack,1,0,0
2022/08/30,Direct,Other,1,0,0
2022/09/04,Substack > Other,Substack,1,0,0
2022/12/11,Direct,Other,1,0,0
2023/02/24,Direct,Other,1,0,0
2023/04/06,Direct,Other,1,0,0
2023/05/06,Direct,Other,1,0,0
2023/06/08,Direct,Other,1,0,0
2023/07/08,Direct,Other,2,0,0
2023/09/08,Direct,Other,2,0,0
2023/10/08,Direct,Other,2,0,0
2023/11/15,Direct,Other,1,0,0
2023/12/10,Direct,Other,2,0,0
2024/01/09,Direct,Other,1,0,0
2024/02/08,Direct,Other,1,0,0
2024/03/06,Substack > Other,Substack,1,0,0
2024/03/11,Direct,Other,1,0,0
2024/05/08,Direct,Other,1,0,0
2024/07/09,Direct,Other,1,0,0
2024/08/19,Direct,Other,2,0,0
2024/09/08,Direct,Other,1,0,0
2025/08/27,Direct,Other,1,0,0
2025/10/02,Substack > Other,Substack,1,0,0
2025/10/08,Substack > Other,Substack,1,0,0
2025/10/25,Direct to App,Other,1,0,0
2025/12/12,Substack > Other,Substack,1,0,0
2026/02/07,Direct to App,Other,1,0,0
2026/03/01,Direct to App,Other,1,0,0
2026/03/19,Direct,Other,1,0,0
2026/04/06,Direct,Other,1,0,0
2026/04/09,Substack > Other,Substack,2,0,0
2026/04/10,Direct,Other,0,0,0
2026/04/10,Substack > Other,Substack,1,0,0
2026/04/11,Email clicks,Email,1,0,0
2026/04/12,Direct,Other,3,0,0
2026/04/12,Facebook,Social,8,0,0
2026/04/12,LinkedIn,Social,1,0,0
2026/04/13,Direct,Other,3,0,0
2026/04/13,Substack > Other,Substack,1,0,0
2026/04/13,WhatsApp,Messaging,1,0,0
2026/04/14,Direct,Other,1,0,0
2026/04/14,Substack > Other,Substack,0,0,0
2026/04/16,LinkedIn,Social,1,0,0
2026/04/18,Direct,Other,1,0,0
2026/04/29,Substack > Other,Substack,1,0,0
2026/05/01,Substack > Other,Substack,1,0,0
2026/05/06,Direct to App,Other,1,0,0
2026/05/19,Direct to App,Other,1,0,0
2026/05/23,Direct,Other,0,0,0
2026/05/23,Substack > Other,Substack,1,0,0
2026/05/31,Direct,Other,0,0,0
2026/05/31,Substack > Other,Substack,1,0,0
2026/07/02,Direct to App,Other,1,0,0
2026/07/04,Direct,Other,0,0,0
2026/07/04,Substack > Other,Substack,1,0,0
2026/07/05,Direct,Other,3,0,0
2026/07/05,Direct to App,Other,0,0,0
2026/07/05,Facebook,Social,11,0,0
2026/07/05,LinkedIn,Social,2,0,0
2026/07/09,Direct,Other,0,0,0
2026/07/09,Substack > Other,Substack,1,0,0
2026/07/10,Direct,Other,1,0,0
2026/07/12,LinkedIn,Social,1,0,0
2026/07/13,Direct,Other,1,0,0
2026/07/13,Facebook,Social,19,0,0
2026/07/13,LinkedIn,Social,0,0,0
2026/07/14,Direct,Other,2,0,0
2026/07/14,LinkedIn,Social,0,0,0
2026/07/15,Direct to App,Other,1,0,0
2026/07/15,LinkedIn,Social,1,0,0
2026/07/16,Facebook,Social,3,0,0
2026/07/16,LinkedIn,Social,1,0,0
2026/07/17,Direct,Other,2,0,0
2026/07/17,Substack > Other,Substack,1,0,0
2026/07/19,Direct,Other,2,0,0
2026/07/23,Direct,Other,1,0,0
2026/07/23,Substack > Other,Substack,0,0,0
2026/07/24,Direct,Other,1,0,0
